Run,Algorithm,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level
1,AES,256,0.0025585,0.0024045,70.1796875,High (128-bit security)
2,AES,256,0.0023798,0.0022821,75.1640625,High (128-bit security)
3,AES,256,0.0022872,0.0023581,75.1640625,High (128-bit security)
4,AES,256,0.0026028,0.0024049,75.1640625,High (128-bit security)
5,AES,256,0.0023356,0.0022182,75.1640625,High (128-bit security)
6,AES,256,0.0023729,0.0022729,75.1640625,High (128-bit security)
7,AES,256,0.0024017,0.0024516,75.41796875,High (128-bit security)
8,AES,256,0.0026447,0.0022361,75.41796875,High (128-bit security)
9,AES,256,0.0022147,0.0022291,75.58203125,High (128-bit security)
10,AES,256,0.002273,0.0022975,75.58203125,High (128-bit security)
,,,0.00240709,0.0023155,74.8,
,,,,,,
Run,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level,
1,2048,0.0037816,0.0437445,73.4609375,High (based on key size + AES strength),
2,2048,0.0031818,0.044208,75.1640625,High (based on key size + AES strength),
3,2048,0.0033967,0.0431853,75.1640625,High (based on key size + AES strength),
4,2048,0.0032486,0.0455012,75.1640625,High (based on key size + AES strength),
5,2048,0.0033722,0.0440044,75.1640625,High (based on key size + AES strength),
6,2048,0.0039236,0.0507568,75.1640625,High (based on key size + AES strength),
7,2048,0.0035099,0.043351,75.41796875,High (based on key size + AES strength),
8,2048,0.0030971,0.0438006,75.51953125,High (based on key size + AES strength),
9,2048,0.0031971,0.0427564,75.58203125,High (based on key size + AES strength),
10,2048,0.0031869,0.0482646,75.58203125,High (based on key size + AES strength),
,,,0.04495728,75.13828125,#DIV/0!,
,,,,,,
Run,Algorithm,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level
1,ChaCha20-Poly1305,256,0.0066385,0.0067483,73.5234375,High (128-bit security)
2,ChaCha20-Poly1305,256,0.0067354,0.0067552,75.1640625,High (128-bit security)
3,ChaCha20-Poly1305,256,0.0065283,0.0064536,75.1640625,High (128-bit security)
4,ChaCha20-Poly1305,256,0.0064268,0.0067263,75.1640625,High (128-bit security)
5,ChaCha20-Poly1305,256,0.0065857,0.0065267,75.1640625,High (128-bit security)
6,ChaCha20-Poly1305,256,0.0067817,0.0072621,75.41796875,High (128-bit security)
7,ChaCha20-Poly1305,256,0.0066296,0.006581,75.41796875,High (128-bit security)
8,ChaCha20-Poly1305,256,0.0066057,0.0068118,75.58203125,High (128-bit security)
9,ChaCha20-Poly1305,256,0.0064823,0.0067338,75.58203125,High (128-bit security)
10,ChaCha20-Poly1305,256,0.0066829,0.0066092,75.58203125,High (128-bit security)
,,,0.00660969,0.0067208,75.17617188,
