Run,Algorithm,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level
1,AES,256,0.022853500002383953,0.022505100001581013,112.6015625,High (128-bit security)
1,RSA (Hybrid),2048,0.02337970000007772,0.06789030000436469,145.6328125,High (based on key size + AES strength)
1,ChaCha20-Poly1305,256,0.06526959999973769,0.06537939999907394,145.6953125,High (128-bit security)
2,AES,256,0.02270889999999781,0.022417199998017168,162.2109375,High (128-bit security)
2,RSA (Hybrid),2048,0.02352219999738736,0.06443509999735397,162.2109375,High (based on key size + AES strength)
2,ChaCha20-Poly1305,256,0.06543290000263369,0.0660844999983965,162.21484375,High (128-bit security)
3,AES,256,0.022686500000418164,0.022514399999636225,162.21484375,High (128-bit security)
3,RSA (Hybrid),2048,0.02433260000179871,0.06373040000107721,162.21484375,High (based on key size + AES strength)
3,ChaCha20-Poly1305,256,0.06539790000169887,0.0664491999996244,162.21484375,High (128-bit security)
4,AES,256,0.02353690000018105,0.023260199999640463,162.21484375,High (128-bit security)
4,RSA (Hybrid),2048,0.023415199997543823,0.06288579999818467,162.21484375,High (based on key size + AES strength)
4,ChaCha20-Poly1305,256,0.06617410000035306,0.065697200003342,162.21484375,High (128-bit security)
5,AES,256,0.022969300000113435,0.023133400001825066,162.21484375,High (128-bit security)
5,RSA (Hybrid),2048,0.02363109999714652,0.06229199999870616,162.21484375,High (based on key size + AES strength)
5,ChaCha20-Poly1305,256,0.06516969999938738,0.06609279999975115,162.21484375,High (128-bit security)
6,AES,256,0.022627500002272427,0.022799499998654937,162.21484375,High (128-bit security)
6,RSA (Hybrid),2048,0.0236241999991762,0.06329729999924893,162.21484375,High (based on key size + AES strength)
6,ChaCha20-Poly1305,256,0.06700500000079046,0.06519859999752953,162.21484375,High (128-bit security)
7,AES,256,0.02333849999922677,0.022634600001765648,162.21484375,High (128-bit security)
7,RSA (Hybrid),2048,0.023463599998649443,0.06568639999750303,162.21484375,High (based on key size + AES strength)
7,ChaCha20-Poly1305,256,0.06550250000145752,0.06644220000089263,162.21484375,High (128-bit security)
8,AES,256,0.025090699997235788,0.02555439999923692,162.21484375,High (128-bit security)
8,RSA (Hybrid),2048,0.02373069999885047,0.0625787000026321,162.21484375,High (based on key size + AES strength)
8,ChaCha20-Poly1305,256,0.06586279999828548,0.06593849999990198,162.21484375,High (128-bit security)
9,AES,256,0.022828400000435067,0.022665199998300523,162.21484375,High (128-bit security)
9,RSA (Hybrid),2048,0.024659999999130378,0.07062750000113738,162.21484375,High (based on key size + AES strength)
9,ChaCha20-Poly1305,256,0.06535250000160886,0.06519269999989774,162.21484375,High (128-bit security)
10,AES,256,0.02414130000033765,0.022701000001688953,162.21484375,High (128-bit security)
10,RSA (Hybrid),2048,0.023516000004747184,0.06253490000017337,162.21484375,High (based on key size + AES strength)
10,ChaCha20-Poly1305,256,0.06522889999905601,0.06532090000109747,162.21484375,High (128-bit security)
